 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Carbon in  H- O

 Ion = Carbon [6] , Mass = 12 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  60.00 MeV   2.921E+00  1.712E-03  132.59 um     4.91 um     1.30 um  
  65.00 MeV   2.762E+00  1.595E-03  150.19 um     5.52 um     1.43 um  
  70.00 MeV   2.622E+00  1.493E-03  168.76 um     6.12 um     1.57 um  
  80.00 MeV   2.382E+00  1.325E-03  208.77 um     8.35 um     1.86 um  
  90.00 MeV   2.184E+00  1.193E-03  252.60 um    10.42 um     2.19 um  
 100.00 MeV   2.016E+00  1.085E-03  300.24 um    12.42 um     2.54 um  
 110.00 MeV   1.872E+00  9.966E-04  351.71 um    14.42 um     2.91 um  
 120.00 MeV   1.745E+00  9.217E-04  407.03 um    16.42 um     3.32 um  
 130.00 MeV   1.633E+00  8.578E-04  466.25 um    18.46 um     3.75 um  
 140.00 MeV   1.534E+00  8.025E-04  529.41 um    20.53 um     4.21 um  
 150.00 MeV   1.445E+00  7.542E-04  596.57 um    22.64 um     4.69 um  
 160.00 MeV   1.364E+00  7.117E-04  667.79 um    24.81 um     5.21 um  
 170.00 MeV   1.291E+00  6.738E-04  743.11 um    27.03 um     5.75 um  
 180.00 MeV   1.225E+00  6.400E-04  822.58 um    29.30 um     6.32 um  
 200.00 MeV   1.111E+00  5.820E-04  993.99 um    38.09 um     7.56 um  
 225.00 MeV   9.939E-01  5.232E-04    1.23 mm    50.91 um     9.27 um  
 250.00 MeV   9.006E-01  4.757E-04    1.50 mm    63.24 um    11.18 um  
 275.00 MeV   8.262E-01  4.363E-04    1.79 mm    75.45 um    13.27 um  
 300.00 MeV   7.674E-01  4.033E-04    2.10 mm    87.64 um    15.54 um  
 325.00 MeV   7.216E-01  3.750E-04    2.44 mm    99.79 um    17.98 um  
 350.00 MeV   6.868E-01  3.506E-04    2.79 mm   111.82 um    20.56 um  
 375.00 MeV   6.533E-01  3.293E-04    3.16 mm   123.76 um    23.26 um  
 400.00 MeV   6.196E-01  3.106E-04    3.56 mm   135.78 um    26.10 um  
 450.00 MeV   5.627E-01  2.790E-04    4.40 mm   181.30 um    32.20 um  
 500.00 MeV   5.165E-01  2.535E-04    5.33 mm   224.03 um    38.85 um  
 550.00 MeV   4.780E-01  2.324E-04    6.34 mm   265.68 um    46.02 um  
 600.00 MeV   4.456E-01  2.147E-04    7.42 mm   306.97 um    53.72 um  
 650.00 MeV   4.179E-01  1.996E-04    8.58 mm   348.27 um    61.92 um  
 700.00 MeV   3.939E-01  1.865E-04    9.81 mm   389.77 um    70.60 um  
 800.00 MeV   3.543E-01  1.651E-04   12.49 mm   544.05 um    89.41 um  
 900.00 MeV   3.231E-01  1.482E-04   15.44 mm   686.78 um   110.04 um  
   1.00 GeV   2.978E-01  1.346E-04   18.67 mm   825.08 um   132.40 um  
   1.10 GeV   2.768E-01  1.233E-04   22.15 mm   961.70 um   156.42 um  
   1.20 GeV   2.592E-01  1.139E-04   25.88 mm     1.10 mm   182.02 um  
   1.30 GeV   2.442E-01  1.058E-04   29.86 mm     1.23 mm   209.14 um  
   1.40 GeV   2.312E-01  9.884E-05   34.07 mm     1.37 mm   237.71 um  
   1.50 GeV   2.198E-01  9.277E-05   38.50 mm     1.51 mm   267.67 um  
   1.60 GeV   2.098E-01  8.743E-05   43.16 mm     1.65 mm   298.96 um  
   1.70 GeV   2.010E-01  8.269E-05   48.03 mm     1.79 mm   331.53 um  
   1.80 GeV   1.930E-01  7.845E-05   53.10 mm     1.93 mm   365.32 um  
   2.00 GeV   1.795E-01  7.120E-05   63.85 mm     2.46 mm   436.40 um  
   2.25 GeV   1.658E-01  6.388E-05   78.34 mm     3.20 mm   531.33 um  
   2.50 GeV   1.548E-01  5.797E-05   93.94 mm     3.89 mm   632.38 um  
   2.75 GeV   1.458E-01  5.309E-05  110.58 mm     4.55 mm   738.98 um  
   3.00 GeV   1.382E-01  4.899E-05  128.18 mm     5.19 mm   850.60 um  
   3.25 GeV   1.318E-01  4.550E-05  146.70 mm     5.82 mm   966.76 um  
   3.50 GeV   1.263E-01  4.249E-05  166.07 mm     6.43 mm     1.09 mm  
   3.75 GeV   1.215E-01  3.987E-05  186.25 mm     7.04 mm     1.21 mm  
   4.00 GeV   1.174E-01  3.756E-05  207.17 mm     7.64 mm     1.34 mm  
   4.50 GeV   1.104E-01  3.368E-05  251.09 mm     9.85 mm     1.60 mm  
   5.00 GeV   1.049E-01  3.055E-05  297.54 mm    11.85 mm     1.88 mm  
   5.50 GeV   1.004E-01  2.797E-05  346.26 mm    13.71 mm     2.16 mm  
   6.00 GeV   9.672E-02  2.580E-05  396.99 mm    15.48 mm     2.45 mm  
   6.50 GeV   9.362E-02  2.395E-05  449.53 mm    17.18 mm     2.74 mm  
   7.00 GeV   9.099E-02  2.236E-05  503.70 mm    18.82 mm     3.04 mm  
   8.00 GeV   8.682E-02  1.976E-05  616.21 mm    24.66 mm     3.64 mm  
   9.00 GeV   8.368E-02  1.771E-05  733.54 mm    29.73 mm     4.25 mm  
  10.00 GeV   8.127E-02  1.606E-05  854.80 mm    34.34 mm     4.86 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  9.9997E+00                 eV / Angstrom 
  9.9997E+01                keV / micron   
  9.9997E+01                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  9.9706E+00                 eV / (1E15 atoms/cm2)
  2.0795E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
