Energy_MeV,LET_keV_um,CSDA_um,longitudinal_straggling_um,lateral_straggling_um,particle,material,Energy_MeV_u
1300.0,0.26436,3690000.0,137860.0,65390.0,1H,CR39,1289.8105
1400.0,0.26187,4070000.0,148160.0,70860.0,1H,CR39,1389.02669
1500.0,0.25977,4460000.0,157960.0,76240.0,1H,CR39,1488.24288
1600.0,0.25807,4840000.0,167330.0,81520.0,1H,CR39,1587.45907
1700.0,0.25676,5230000.0,176300.0,86700.0,1H,CR39,1686.67527
1800.0,0.25584,5620000.0,184920.0,91780.0,1H,CR39,1785.89146
2000.0,0.2544,6400000.0,215930.0,101660.0,1H,CR39,1984.32384
2250.0,0.25348,7390000.0,257270.0,113480.0,1H,CR39,2232.36432
2500.0,0.25309,8370000.0,293010.0,124770.0,1H,CR39,2480.4048
2750.0,0.25322,9360000.0,324870.0,135550.0,1H,CR39,2728.44528
3000.0,0.25375,10350000.0,353820.0,145880.0,1H,CR39,2976.48576
3250.0,0.25427,11330000.0,380480.0,155780.0,1H,CR39,3224.52624
3500.0,0.25506,12310000.0,405270.0,165290.0,1H,CR39,3472.56672
3750.0,0.25584,13290000.0,428500.0,174440.0,1H,CR39,3720.6072
4000.0,0.25676,14270000.0,450380.0,183270.0,1H,CR39,3968.64768
4500.0,0.25873,16200000.0,527740.0,200030.0,1H,CR39,4464.72864
5000.0,0.26069,18130000.0,594190.0,215730.0,1H,CR39,4960.8096
5500.0,0.26265,20040000.0,653080.0,230530.0,1H,CR39,5456.89056
6000.0,0.26449,21940000.0,706340.0,244520.0,1H,CR39,5952.97152
6500.0,0.26632,23820000.0,755170.0,257810.0,1H,CR39,6449.05249
7000.0,0.26816,25690000.0,800430.0,270460.0,1H,CR39,6945.13345
8000.0,0.27156,29390000.0,957050.0,294140.0,1H,CR39,7937.29537
9000.0,0.27484,33050000.0,1090000.0,315980.0,1H,CR39,8929.45729
10000.0,0.27772,36670000.0,1200000.0,336290.0,1H,CR39,9921.61921
1e-05,1.447,0.0007,0.0007,0.0005,1H,water,1e-05
1e-05,1.518,0.0008,0.0008,0.0006,1H,water,1e-05
1e-05,1.586,0.0008,0.0008,0.0006,1H,water,1e-05
1e-05,1.65,0.0008,0.0009,0.0006,1H,water,1e-05
1e-05,1.713,0.0009,0.0009,0.0007,1H,water,1e-05
1e-05,1.773,0.0009,0.0009,0.0007,1H,water,1e-05
2e-05,1.831,0.001,0.001,0.0007,1H,water,2e-05
2e-05,1.887,0.001,0.001,0.0008,1H,water,2e-05
2e-05,1.942,0.0011,0.0011,0.0008,1H,water,2e-05
2e-05,2.047,0.0011,0.0011,0.0008,1H,water,2e-05
2e-05,2.171,0.0012,0.0012,0.0009,1H,water,2e-05
2e-05,2.289,0.0013,0.0013,0.001,1H,water,2e-05
3e-05,2.4,0.0014,0.0014,0.0011,1H,water,3e-05
3e-05,2.507,0.0015,0.0015,0.0011,1H,water,3e-05
3e-05,2.609,0.0016,0.0016,0.0012,1H,water,3e-05
3e-05,2.708,0.0017,0.0017,0.0013,1H,water,3e-05
4e-05,2.803,0.0018,0.0018,0.0013,1H,water,4e-05
4e-05,2.895,0.0019,0.0019,0.0014,1H,water,4e-05
4e-05,3.071,0.0021,0.002,0.0015,1H,water,4e-05
5e-05,3.237,0.0023,0.0022,0.0016,1H,water,5e-05
5e-05,3.395,0.0025,0.0024,0.0018,1H,water,5e-05
6e-05,3.546,0.0026,0.0025,0.0019,1H,water,6e-05
6e-05,3.69,0.0028,0.0027,0.002,1H,water,6e-05
7e-05,3.83,0.003,0.0028,0.0021,1H,water,7e-05
8e-05,4.094,0.0034,0.0031,0.0024,1H,water,8e-05
9e-05,4.342,0.0037,0.0034,0.0026,1H,water,9e-05
0.0001,4.577,0.004,0.0037,0.0028,1H,water,0.0001
0.00011,4.801,0.0044,0.004,0.003,1H,water,0.00011
0.00012,5.014,0.0047,0.0043,0.0032,1H,water,0.00012
0.00013,5.219,0.0051,0.0045,0.0035,1H,water,0.00013
0.00014,5.416,0.0054,0.0048,0.0037,1H,water,0.00014
0.00015,5.606,0.0058,0.0051,0.0039,1H,water,0.00015
0.00016,5.79,0.0061,0.0053,0.0041,1H,water,0.00016
0.00017,5.968,0.0065,0.0056,0.0043,1H,water,0.00017
0.00018,6.141,0.0068,0.0059,0.0045,1H,water,0.00018
0.0002,6.473,0.0075,0.0064,0.0049,1H,water,0.0002
0.00022,6.866,0.0083,0.007,0.0054,1H,water,0.00022
0.00025,7.237,0.0092,0.0076,0.0059,1H,water,0.00025
0.00027,7.591,0.01,0.0082,0.0064,1H,water,0.00027
0.0003,7.928,0.0109,0.0088,0.0068,1H,water,0.0003
0.00032,8.252,0.0117,0.0094,0.0073,1H,water,0.00032
0.00035,8.563,0.0126,0.0099,0.0078,1H,water,0.00035
0.00037,8.864,0.0134,0.0105,0.0082,1H,water,0.00037
0.0004,9.155,0.0143,0.011,0.0086,1H,water,0.0004
0.00045,9.71,0.0159,0.0121,0.0095,1H,water,0.00045
0.0005,10.24,0.0176,0.0131,0.0104,1H,water,0.0005
0.00055,10.73,0.0193,0.0141,0.0112,1H,water,0.00055
0.0006,11.21,0.021,0.015,0.012,1H,water,0.0006
0.00065,11.67,0.0227,0.016,0.0128,1H,water,0.00064
