 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Oxygen in  H- O

 Ion = Oxygen [8] , Mass = 15.995 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  16.00 MeV   1.099E+01  1.215E-02   16.52 um     5175 A      5164 A   
  17.00 MeV   1.076E+01  1.153E-02   17.44 um     5347 A      5219 A   
  18.00 MeV   1.054E+01  1.097E-02   18.38 um     5521 A      5274 A   
  20.00 MeV   1.011E+01  1.002E-02   20.31 um     6183 A      5386 A   
  22.50 MeV   9.624E+00  9.047E-03   22.84 um     7169 A      5530 A   
  25.00 MeV   9.177E+00  8.256E-03   25.50 um     8118 A      5679 A   
  27.50 MeV   8.772E+00  7.599E-03   28.28 um     9046 A      5834 A   
  30.00 MeV   8.404E+00  7.044E-03   31.19 um     9960 A      5997 A   
  32.50 MeV   8.099E+00  6.569E-03   34.22 um     1.09 um     6167 A   
  35.00 MeV   7.905E+00  6.156E-03   37.34 um     1.17 um     6343 A   
  37.50 MeV   7.688E+00  5.796E-03   40.55 um     1.26 um     6525 A   
  40.00 MeV   7.428E+00  5.477E-03   43.85 um     1.35 um     6714 A   
  45.00 MeV   6.935E+00  4.939E-03   50.82 um     1.67 um     7116 A   
  50.00 MeV   6.519E+00  4.502E-03   58.25 um     1.98 um     7550 A   
  55.00 MeV   6.161E+00  4.139E-03   66.14 um     2.28 um     8016 A   
  60.00 MeV   5.850E+00  3.833E-03   74.46 um     2.57 um     8514 A   
  65.00 MeV   5.576E+00  3.572E-03   83.21 um     2.85 um     9044 A   
  70.00 MeV   5.331E+00  3.345E-03   92.38 um     3.14 um     9603 A   
  80.00 MeV   4.912E+00  2.972E-03  111.92 um     4.19 um     1.08 um  
  90.00 MeV   4.563E+00  2.677E-03  133.03 um     5.15 um     1.21 um  
 100.00 MeV   4.266E+00  2.437E-03  155.69 um     6.08 um     1.35 um  
 110.00 MeV   4.007E+00  2.239E-03  179.88 um     6.98 um     1.51 um  
 120.00 MeV   3.779E+00  2.072E-03  205.57 um     7.88 um     1.67 um  
 130.00 MeV   3.576E+00  1.929E-03  232.76 um     8.77 um     1.84 um  
 140.00 MeV   3.393E+00  1.806E-03  261.46 um     9.68 um     2.02 um  
 150.00 MeV   3.228E+00  1.698E-03  291.67 um    10.59 um     2.21 um  
 160.00 MeV   3.077E+00  1.602E-03  323.40 um    11.51 um     2.41 um  
 170.00 MeV   2.938E+00  1.518E-03  356.65 um    12.44 um     2.61 um  
 180.00 MeV   2.811E+00  1.442E-03  391.44 um    13.39 um     2.83 um  
 200.00 MeV   2.584E+00  1.312E-03  465.64 um    17.04 um     3.29 um  
 225.00 MeV   2.343E+00  1.180E-03  567.24 um    22.32 um     3.92 um  
 250.00 MeV   2.141E+00  1.073E-03  678.85 um    27.36 um     4.61 um  
 275.00 MeV   1.969E+00  9.851E-04  800.62 um    32.36 um     5.35 um  
 300.00 MeV   1.821E+00  9.108E-04  932.64 um    37.40 um     6.16 um  
 325.00 MeV   1.695E+00  8.474E-04    1.07 mm    42.50 um     7.03 um  
 350.00 MeV   1.585E+00  7.925E-04    1.23 mm    47.70 um     7.97 um  
 375.00 MeV   1.491E+00  7.446E-04    1.39 mm    53.00 um     8.96 um  
 400.00 MeV   1.410E+00  7.024E-04    1.56 mm    58.38 um    10.01 um  
 450.00 MeV   1.279E+00  6.314E-04    1.93 mm    78.71 um    12.29 um  
 500.00 MeV   1.177E+00  5.739E-04    2.34 mm    97.64 um    14.79 um  
 550.00 MeV   1.090E+00  5.264E-04    2.78 mm   115.99 um    17.48 um  
 600.00 MeV   1.015E+00  4.864E-04    3.26 mm   134.17 um    20.38 um  
 650.00 MeV   9.515E-01  4.523E-04    3.77 mm   152.35 um    23.47 um  
 700.00 MeV   8.962E-01  4.228E-04    4.31 mm   170.63 um    26.75 um  
 800.00 MeV   8.050E-01  3.744E-04    5.49 mm   238.66 um    33.87 um  
 900.00 MeV   7.328E-01  3.363E-04    6.79 mm   301.70 um    41.70 um  
   1.00 GeV   6.741E-01  3.055E-04    8.21 mm   362.93 um    50.22 um  
   1.10 GeV   6.254E-01  2.801E-04    9.75 mm   423.56 um    59.39 um  
   1.20 GeV   5.843E-01  2.587E-04   11.41 mm   484.18 um    69.20 um  
   1.30 GeV   5.492E-01  2.404E-04   13.17 mm   545.06 um    79.62 um  
   1.40 GeV   5.189E-01  2.247E-04   15.04 mm   606.37 um    90.63 um  
   1.50 GeV   4.924E-01  2.109E-04   17.02 mm   668.17 um   102.21 um  
   1.60 GeV   4.690E-01  1.988E-04   19.10 mm   730.50 um   114.34 um  
   1.70 GeV   4.482E-01  1.881E-04   21.28 mm   793.36 um   127.00 um  
   1.80 GeV   4.296E-01  1.785E-04   23.56 mm   856.75 um   140.18 um  
   2.00 GeV   3.978E-01  1.620E-04   28.40 mm     1.10 mm   168.04 um  
   2.25 GeV   3.656E-01  1.454E-04   34.96 mm     1.44 mm   205.50 um  
   2.50 GeV   3.396E-01  1.320E-04   42.05 mm     1.75 mm   245.67 um  
   2.75 GeV   3.182E-01  1.209E-04   49.66 mm     2.06 mm   288.35 um  
   3.00 GeV   3.002E-01  1.116E-04   57.75 mm     2.36 mm   333.36 um  
   3.25 GeV   2.849E-01  1.037E-04   66.30 mm     2.65 mm   380.53 um  
   3.50 GeV   2.717E-01  9.686E-05   75.28 mm     2.94 mm   429.71 um  
   3.75 GeV   2.603E-01  9.090E-05   84.68 mm     3.23 mm   480.74 um  
   4.00 GeV   2.502E-01  8.565E-05   94.48 mm     3.51 mm   533.50 um  
   4.50 GeV   2.335E-01  7.683E-05  115.16 mm     4.58 mm   643.78 um  
   5.00 GeV   2.200E-01  6.971E-05  137.23 mm     5.54 mm   759.60 um  
   5.50 GeV   2.090E-01  6.384E-05  160.54 mm     6.45 mm   880.21 um  
   6.00 GeV   1.999E-01  5.891E-05  185.00 mm     7.32 mm     1.00 mm  
   6.50 GeV   1.922E-01  5.470E-05  210.51 mm     8.17 mm     1.13 mm  
   7.00 GeV   1.856E-01  5.108E-05  236.98 mm     8.99 mm     1.26 mm  
   8.00 GeV   1.751E-01  4.514E-05  292.46 mm    11.94 mm     1.53 mm  
   9.00 GeV   1.670E-01  4.047E-05  350.95 mm    14.53 mm     1.81 mm  
  10.00 GeV   1.606E-01  3.671E-05  412.01 mm    16.90 mm     2.09 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  9.9997E+00                 eV / Angstrom 
  9.9997E+01                keV / micron   
  9.9997E+01                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  9.9706E+00                 eV / (1E15 atoms/cm2)
  1.5172E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
