 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Beryllium in  H- O

 Ion = Beryllium [4] , Mass = 9.012 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.40 GeV   8.269E-02  3.465E-05   96.49 mm     3.87 mm   781.13 um  
   1.50 GeV   7.886E-02  3.251E-05  108.87 mm     4.25 mm   877.50 um  
   1.60 GeV   7.549E-02  3.063E-05  121.83 mm     4.64 mm   977.73 um  
   1.70 GeV   7.251E-02  2.896E-05  135.34 mm     5.02 mm     1.08 mm  
   1.80 GeV   6.984E-02  2.747E-05  149.39 mm     5.40 mm     1.19 mm  
   2.00 GeV   6.530E-02  2.492E-05  179.00 mm     6.84 mm     1.41 mm  
   2.25 GeV   6.073E-02  2.235E-05  218.70 mm     8.86 mm     1.71 mm  
   2.50 GeV   5.707E-02  2.028E-05  261.17 mm    10.71 mm     2.02 mm  
   2.75 GeV   5.406E-02  1.856E-05  306.18 mm    12.47 mm     2.35 mm  
   3.00 GeV   5.156E-02  1.712E-05  353.52 mm    14.17 mm     2.69 mm  
   3.25 GeV   4.945E-02  1.590E-05  403.03 mm    15.81 mm     3.04 mm  
   3.50 GeV   4.764E-02  1.484E-05  454.53 mm    17.42 mm     3.40 mm  
   3.75 GeV   4.608E-02  1.392E-05  507.88 mm    18.99 mm     3.77 mm  
   4.00 GeV   4.472E-02  1.311E-05  562.94 mm    20.54 mm     4.15 mm  
   4.50 GeV   4.248E-02  1.176E-05  677.65 mm    26.19 mm     4.92 mm  
   5.00 GeV   4.071E-02  1.066E-05  797.88 mm    31.25 mm     5.71 mm  
   5.50 GeV   3.929E-02  9.756E-06  922.88 mm    35.92 mm     6.51 mm  
   6.00 GeV   3.813E-02  8.997E-06    1.05 m     40.32 mm     7.32 mm  
   6.50 GeV   3.717E-02  8.351E-06    1.18 m     44.50 mm     8.14 mm  
   7.00 GeV   3.637E-02  7.795E-06    1.32 m     48.50 mm     8.95 mm  
   8.00 GeV   3.511E-02  6.883E-06    1.60 m     62.63 mm    10.59 mm  
   9.00 GeV   3.420E-02  6.168E-06    1.89 m     74.78 mm    12.22 mm  
  10.00 GeV   3.352E-02  5.590E-06    2.18 m     85.69 mm    13.83 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  9.9997E+00                 eV / Angstrom 
  9.9997E+01                keV / micron   
  9.9997E+01                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  9.9706E+00                 eV / (1E15 atoms/cm2)
  3.2099E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
