 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Nitrogen in  H- C- O

 Ion = Nitrogen [7] , Mass = 14.003 amu

 Target Density =  1.3100E+00 g/cm3 = 1.0642E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    048.65    006.62   
      C      6    032.43    052.55   
      O      8    018.92    040.84   
 ====================================
 Bragg Correction = -3.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
  22.50 MeV   7.216E+00  5.653E-03   20.97 um     6627 A      3695 A   
  25.00 MeV   6.849E+00  5.156E-03   23.68 um     7679 A      3873 A   
  27.50 MeV   6.517E+00  4.744E-03   26.54 um     8696 A      4059 A   
  30.00 MeV   6.287E+00  4.395E-03   29.52 um     9683 A      4254 A   
  32.50 MeV   6.055E+00  4.097E-03   32.61 um     1.06 um     4456 A   
  35.00 MeV   5.803E+00  3.839E-03   35.83 um     1.16 um     4667 A   
  37.50 MeV   5.567E+00  3.613E-03   39.18 um     1.26 um     4886 A   
  40.00 MeV   5.352E+00  3.413E-03   42.68 um     1.35 um     5116 A   
  45.00 MeV   4.972E+00  3.076E-03   50.08 um     1.71 um     5603 A   
  50.00 MeV   4.648E+00  2.803E-03   58.01 um     2.05 um     6127 A   
  55.00 MeV   4.368E+00  2.576E-03   66.48 um     2.38 um     6689 A   
  60.00 MeV   4.122E+00  2.385E-03   75.47 um     2.70 um     7287 A   
  65.00 MeV   3.905E+00  2.221E-03   84.98 um     3.02 um     7921 A   
  70.00 MeV   3.711E+00  2.080E-03   95.01 um     3.34 um     8590 A   
  80.00 MeV   3.380E+00  1.847E-03  116.56 um     4.53 um     1.00 um  
  90.00 MeV   3.106E+00  1.663E-03  140.11 um     5.63 um     1.16 um  
 100.00 MeV   2.876E+00  1.514E-03  165.65 um     6.70 um     1.33 um  
 110.00 MeV   2.678E+00  1.390E-03  193.15 um     7.76 um     1.51 um  
 120.00 MeV   2.507E+00  1.286E-03  222.60 um     8.81 um     1.71 um  
 130.00 MeV   2.357E+00  1.197E-03  254.00 um     9.88 um     1.92 um  
 140.00 MeV   2.224E+00  1.120E-03  287.34 um    10.96 um     2.14 um  
 150.00 MeV   2.105E+00  1.053E-03  322.62 um    12.05 um     2.37 um  
 160.00 MeV   1.999E+00  9.935E-04  359.83 um    13.16 um     2.61 um  
 170.00 MeV   1.902E+00  9.409E-04  398.97 um    14.29 um     2.87 um  
 180.00 MeV   1.815E+00  8.937E-04  440.04 um    15.44 um     3.14 um  
 200.00 MeV   1.663E+00  8.128E-04  527.92 um    19.85 um     3.71 um  
 225.00 MeV   1.505E+00  7.310E-04  648.57 um    26.21 um     4.49 um  
 250.00 MeV   1.375E+00  6.647E-04  781.23 um    32.27 um     5.35 um  
 275.00 MeV   1.267E+00  6.099E-04  925.78 um    38.24 um     6.29 um  
 300.00 MeV   1.176E+00  5.637E-04    1.08 mm    44.21 um     7.29 um  
 325.00 MeV   1.099E+00  5.243E-04    1.25 mm    50.22 um     8.37 um  
 350.00 MeV   1.033E+00  4.903E-04    1.43 mm    56.29 um     9.52 um  
 375.00 MeV   9.771E-01  4.606E-04    1.62 mm    62.42 um    10.74 um  
 400.00 MeV   9.288E-01  4.344E-04    1.82 mm    68.60 um    12.02 um  
 450.00 MeV   8.459E-01  3.903E-04    2.25 mm    91.84 um    14.78 um  
 500.00 MeV   7.761E-01  3.547E-04    2.72 mm   113.57 um    17.78 um  
 550.00 MeV   7.180E-01  3.253E-04    3.23 mm   134.75 um    21.02 um  
 600.00 MeV   6.690E-01  3.005E-04    3.78 mm   155.76 um    24.51 um  
 650.00 MeV   6.270E-01  2.794E-04    4.37 mm   176.79 um    28.22 um  
 700.00 MeV   5.906E-01  2.611E-04    5.00 mm   197.93 um    32.16 um  
 800.00 MeV   5.306E-01  2.312E-04    6.36 mm   276.66 um    40.70 um  
 900.00 MeV   4.832E-01  2.076E-04    7.87 mm   349.59 um    50.08 um  
   1.00 GeV   4.448E-01  1.885E-04    9.52 mm   420.38 um    60.27 um  
   1.10 GeV   4.129E-01  1.728E-04   11.30 mm   490.43 um    71.24 um  
   1.20 GeV   3.861E-01  1.596E-04   13.21 mm   560.39 um    82.96 um  
   1.30 GeV   3.631E-01  1.483E-04   15.25 mm   630.60 um    95.39 um  
   1.40 GeV   3.433E-01  1.385E-04   17.41 mm   701.22 um   108.52 um  
   1.50 GeV   3.260E-01  1.300E-04   19.69 mm   772.34 um   122.31 um  
   1.60 GeV   3.108E-01  1.226E-04   22.09 mm   843.98 um   136.74 um  
   1.70 GeV   2.972E-01  1.159E-04   24.60 mm   916.17 um   151.79 um  
   1.80 GeV   2.851E-01  1.100E-04   27.22 mm   988.87 um   167.43 um  
   2.00 GeV   2.644E-01  9.984E-05   32.78 mm     1.26 mm   200.44 um  
   2.25 GeV   2.435E-01  8.959E-05   40.30 mm     1.65 mm   244.70 um  
   2.50 GeV   2.267E-01  8.131E-05   48.43 mm     2.01 mm   292.03 um  
   2.75 GeV   2.128E-01  7.448E-05   57.12 mm     2.36 mm   342.18 um  
   3.00 GeV   2.011E-01  6.874E-05   66.34 mm     2.70 mm   394.93 um  
   3.25 GeV   1.912E-01  6.385E-05   76.07 mm     3.03 mm   450.05 um  
   3.50 GeV   1.827E-01  5.963E-05   86.28 mm     3.36 mm   507.36 um  
   3.75 GeV   1.753E-01  5.595E-05   96.94 mm     3.68 mm   566.69 um  
   4.00 GeV   1.689E-01  5.271E-05  108.03 mm     4.01 mm   627.87 um  
   4.50 GeV   1.581E-01  4.728E-05  131.40 mm     5.20 mm   755.26 um  
   5.00 GeV   1.494E-01  4.289E-05  156.23 mm     6.27 mm   888.45 um  
   5.50 GeV   1.424E-01  3.927E-05  182.40 mm     7.29 mm     1.03 mm  
   6.00 GeV   1.365E-01  3.623E-05  209.77 mm     8.26 mm     1.17 mm  
   6.50 GeV   1.316E-01  3.364E-05  238.24 mm     9.19 mm     1.31 mm  
   7.00 GeV   1.274E-01  3.141E-05  267.71 mm    10.09 mm     1.46 mm  
   8.00 GeV   1.207E-01  2.775E-05  329.26 mm    13.33 mm     1.77 mm  
   9.00 GeV   1.156E-01  2.488E-05  393.88 mm    16.17 mm     2.08 mm  
  10.00 GeV   1.116E-01  2.256E-05  461.08 mm    18.76 mm     2.39 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  1.3100E+01                 eV / Angstrom 
  1.3100E+02                keV / micron   
  1.3100E+02                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  1.2309E+01                 eV / (1E15 atoms/cm2)
  1.9984E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
