 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Helium in  H- O

 Ion = Helium [2] , Mass = 4.003 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   5.50 MeV   8.533E-01  6.445E-04   42.84 um     1.61 um     8705 A   
   6.00 MeV   8.021E-01  5.969E-04   48.87 um     1.83 um     9564 A   
   6.50 MeV   7.572E-01  5.562E-04   55.28 um     2.05 um     1.05 um  
   7.00 MeV   7.175E-01  5.209E-04   62.06 um     2.28 um     1.15 um  
   8.00 MeV   6.505E-01  4.628E-04   76.69 um     3.10 um     1.36 um  
   9.00 MeV   6.079E-01  4.169E-04   92.58 um     3.84 um     1.59 um  
  10.00 MeV   5.641E-01  3.797E-04  109.64 um     4.56 um     1.83 um  
  11.00 MeV   5.233E-01  3.488E-04  128.03 um     5.27 um     2.10 um  
  12.00 MeV   4.886E-01  3.228E-04  147.80 um     5.99 um     2.38 um  
  13.00 MeV   4.586E-01  3.005E-04  168.91 um     6.72 um     2.68 um  
  14.00 MeV   4.325E-01  2.813E-04  191.34 um     7.45 um     3.00 um  
  15.00 MeV   4.095E-01  2.645E-04  215.09 um     8.20 um     3.33 um  
  16.00 MeV   3.891E-01  2.496E-04  240.12 um     8.96 um     3.69 um  
  17.00 MeV   3.708E-01  2.364E-04  266.43 um     9.74 um     4.06 um  
  18.00 MeV   3.543E-01  2.246E-04  294.00 um    10.52 um     4.44 um  
  20.00 MeV   3.257E-01  2.044E-04  352.83 um    13.48 um     5.27 um  
  22.50 MeV   2.965E-01  1.839E-04  433.24 um    17.71 um     6.39 um  
  25.00 MeV   2.724E-01  1.673E-04  521.17 um    21.72 um     7.61 um  
  27.50 MeV   2.523E-01  1.535E-04  616.47 um    25.65 um     8.93 um  
  30.00 MeV   2.352E-01  1.419E-04  719.04 um    29.57 um    10.35 um  
  32.50 MeV   2.205E-01  1.321E-04  828.77 um    33.49 um    11.86 um  
  35.00 MeV   2.076E-01  1.235E-04  945.56 um    37.45 um    13.46 um  
  37.50 MeV   1.963E-01  1.160E-04    1.07 mm    41.46 um    15.15 um  
  40.00 MeV   1.863E-01  1.095E-04    1.20 mm    45.51 um    16.93 um  
  45.00 MeV   1.692E-01  9.840E-05    1.48 mm    60.70 um    20.75 um  
