 ==================================================================
              Calculation using SRIM-2006 
              SRIM version ---> SRIM-2008.04
              Calc. date   ---> Dezember 27, 2025 
 ==================================================================

 Disk File Name = SRIM Outputs\Boron in  H- O

 Ion = Boron [5] , Mass = 11.009 amu

 Target Density =  1.0000E+00 g/cm3 = 1.0029E+23 atoms/cm3
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    066.67    011.19   
      O      8    033.33    088.81   
 ====================================
 Bragg Correction = -6.00%
 Stopping Units =  MeV / (mg/cm2) 
 See bottom of Table for other Stopping units 

   Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
  Energy      Elec.      Nuclear     Range     Straggling   Straggling
-----------  ---------- ---------- ----------  ----------  ----------
   1.10 GeV   1.788E-01  8.023E-05   34.36 mm     1.49 mm   255.17 um  
   1.20 GeV   1.675E-01  7.407E-05   40.14 mm     1.70 mm   296.81 um  
   1.30 GeV   1.579E-01  6.881E-05   46.29 mm     1.91 mm   340.86 um  
   1.40 GeV   1.496E-01  6.428E-05   52.80 mm     2.12 mm   387.22 um  
   1.50 GeV   1.424E-01  6.032E-05   59.65 mm     2.34 mm   435.77 um  
   1.60 GeV   1.360E-01  5.684E-05   66.83 mm     2.55 mm   486.41 um  
   1.70 GeV   1.304E-01  5.376E-05   74.34 mm     2.76 mm   539.07 um  
   1.80 GeV   1.253E-01  5.100E-05   82.16 mm     2.98 mm   593.63 um  
   2.00 GeV   1.167E-01  4.628E-05   98.69 mm     3.79 mm   708.24 um  
   2.25 GeV   1.081E-01  4.151E-05  120.95 mm     4.93 mm   860.90 um  
   2.50 GeV   1.011E-01  3.766E-05  144.87 mm     5.99 mm     1.02 mm  
   2.75 GeV   9.534E-02  3.449E-05  170.34 mm     6.99 mm     1.19 mm  
   3.00 GeV   9.054E-02  3.182E-05  197.25 mm     7.96 mm     1.37 mm  
   3.25 GeV   8.648E-02  2.955E-05  225.50 mm     8.92 mm     1.56 mm  
   3.50 GeV   8.300E-02  2.759E-05  255.00 mm     9.85 mm     1.75 mm  
   3.75 GeV   7.999E-02  2.589E-05  285.68 mm    10.77 mm     1.94 mm  
   4.00 GeV   7.735E-02  2.438E-05  317.46 mm    11.67 mm     2.15 mm  
   4.50 GeV   7.298E-02  2.186E-05  384.01 mm    15.01 mm     2.56 mm  
   5.00 GeV   6.951E-02  1.983E-05  454.21 mm    18.00 mm     2.99 mm  
   5.50 GeV   6.670E-02  1.815E-05  527.64 mm    20.80 mm     3.43 mm  
   6.00 GeV   6.438E-02  1.674E-05  603.93 mm    23.44 mm     3.88 mm  
   6.50 GeV   6.245E-02  1.554E-05  682.78 mm    25.97 mm     4.34 mm  
   7.00 GeV   6.082E-02  1.451E-05  763.90 mm    28.40 mm     4.80 mm  
   8.00 GeV   5.824E-02  1.281E-05  931.92 mm    37.05 mm     5.73 mm  
   9.00 GeV   5.631E-02  1.148E-05    1.11 m     44.54 mm     6.67 mm  
  10.00 GeV   5.484E-02  1.041E-05    1.29 m     51.32 mm     7.60 mm  
-----------------------------------------------------------
 Multiply Stopping by        for Stopping Units
 -------------------        ------------------
  9.9997E+00                 eV / Angstrom 
  9.9997E+01                keV / micron   
  9.9997E+01                MeV / mm       
  1.0000E+00                keV / (ug/cm2) 
  1.0000E+00                MeV / (mg/cm2) 
  1.0000E+03                keV / (mg/cm2) 
  9.9706E+00                 eV / (1E15 atoms/cm2)
  2.4809E-01                L.S.S. reduced units
 ==================================================================
 (C) 1984,1989,1992,1998,2008 by J.P. Biersack and J.F. Ziegler
